METADATA:
Indicator: Breakdown of LCY Bond Market Issuance
Definition: This indicator shows the gross amount of local currency (LCY) bond issuance in USD. It provides a breakdown of issuance by central governments (mainly treasuries) and other government entities, central banks, and corporates or private institutions.
Available Economies: CN,HK,ID,JP,KR,LA,MY,PH,SG,TH,VN,VN*
Available Years: 1995-2024
Frequency: quarterly updates
Latest Data: Sep-2024

DISCLAIMER: The ADB provides no warranty or undertaking of any kind in respect to the information and materials found on, or linked to, AsianBondsOnline. The ADB accepts no responsibility for the accuracy of the material posted or linked to the publication, or the information contained therein, or for any consequences arising from its use and does not invite or accept reliance being placed on any materials or information so provided. Views expressed in articles marked with AsianBondsOnline are those of the authors, and not ADB. This disclaimer does not derogate from, and is in addition to, the general terms and conditions regarding the use of the AsianBondsOnline Web Site, which also apply.

Economy,Date,"Corporate(LCY billions)","Government(LCY billions)","Total(LCY billions)","Corporate(USD billions)","Government(USD billions)","Total(USD billions)"
KR,2021,572057.000000,180671.1000,752728.100000,480.7686489394,151.83976535,632.6084142939
KR,2022,596436.000000,168629.9000,765065.900000,471.3046226788,133.25160016,604.5562228368
KR,2023,785168.000000,165706.5000,950874.500000,609.5551587610,128.64412701,738.1992857697
LA,2020,0.000000,2716.0000,2716.000000,0.0000000000,0.29204301,0.2920430108
LA,2021,0.000000,18390.3700,18390.370000,0.0000000000,1.64245193,1.6424519287
LA,2022,0.000000,6395.7100,6395.710000,0.0000000000,0.36885736,0.3688573612
MY,2000,0.000000,16.0000,16.000000,0.0000000000,4.21052632,4.2105263158
MY,2001,0.000000,21.5000,21.500000,0.0000000000,5.65715037,5.6571503750
MY,2002,0.000000,15.0000,15.000000,0.0000000000,3.94788788,3.9478878800
MY,2003,0.000000,39.8500,39.850000,0.0000000000,10.48684211,10.4868421053
MY,2004,0.000000,41.7500,41.750000,0.0000000000,10.98684211,10.9868421053
MY,2005,39.986000,33.0300,73.016000,10.5797063104,8.73925122,19.3189575341
MY,2006,70.684400,42.6300,113.314400,20.0409413099,12.08675929,32.1277005954
MY,2007,118.764600,60.7109,179.475500,35.8642911067,18.33335347,54.1976445719
MY,2008,107.770800,66.6300,174.400800,31.0802595530,19.21557318,50.2958327325
MY,2009,95.959400,95.2100,191.169400,28.0050780680,27.78637093,55.7914490004
MY,2010,82.128300,64.7300,146.858300,26.8086502367,21.12942713,47.9380773625
MY,2011,92.281200,99.9424,192.223600,29.1291666667,31.54747475,60.6766414141
MY,2012,153.501400,102.7740,256.275400,50.1966644866,33.60824068,83.8049051668
MY,2013,117.521100,107.0873,224.608400,35.8766370547,32.69142473,68.5680617883
MY,2014,117.594300,97.3699,214.964200,33.6243101821,27.84144912,61.4657593000
MY,2015,129.499900,107.9932,237.493100,30.1562303519,25.14803344,55.3042637915
MY,2016,137.775900,94.0000,231.775900,30.7110472114,20.95314520,51.6641924123
MY,2017,178.918400,129.4158,308.334200,44.2155937230,31.98215742,76.1977511430
MY,2018,160.955900,131.3000,292.255900,38.9393734124,31.76484819,70.7042216040
MY,2019,207.965800,127.7000,335.665800,50.8349547788,31.21486189,82.0498166707
MY,2020,171.389500,183.9155,355.305000,42.6310225605,45.74671044,88.3777330050
MY,2021,167.827600,209.3602,377.187800,40.2802352094,50.24845794,90.5286931477
MY,2022,191.244300,232.0000,423.244300,43.4251362398,52.67938238,96.1045186194
MY,2023,161.416300,233.4100,394.826300,35.1363299956,50.80757510,85.9439050936
PH,1997,2.100000,291.0607,293.160700,0.0531645570,7.36862532,7.4217898734
PH,1998,0.000000,398.1405,398.140500,0.0000000000,10.26135309,10.2613530928
PH,1999,0.768500,514.4589,515.227400,0.0190955398,12.78317555,12.8022710896
PH,2000,0.000000,738.3336,738.333600,0.0000000000,14.76667200,14.7666720000
PH,2001,0.000000,777.3643,777.364300,0.0000000000,15.06519961,15.0651996124
PH,2002,3.000000,694.2057,697.205700,0.0559701493,12.95159888,13.0075690299
PH,2003,7.000000,831.6478,838.647800,0.1260352899,14.97385308,15.0998883687
PH,2004,25.200000,829.2842,854.484200,0.4481593455,14.74807398,15.1962333274
PH,2005,16.420500,840.1774,856.597900,0.3093246680,15.82702082,16.1363454837
PH,2006,52.087100,1009.3152,1061.402300,1.0623516215,20.58566592,21.6480175403
PH,2007,65.391400,734.6285,800.019900,1.5852460606,17.80917576,19.3944218182
PH,2008,82.609600,599.4523,682.061900,1.7384175084,12.61473695,14.3531544613
PH,2009,155.381200,687.3300,842.711200,3.3661438475,14.89016464,18.2563084922
PH,2010,73.925300,858.6616,932.586900,1.6877922374,19.60414612,21.2919383562
PH,2011,105.400200,857.3040,962.704200,2.4042016423,19.55529197,21.9594936131
PH,2012,157.843000,766.0343,923.877300,3.8493598342,18.68148518,22.5308450189
PH,2013,127.900000,784.5900,912.490000,2.8809550625,17.67293614,20.5538912040
PH,2014,271.043700,733.5122,1004.555900,6.0609056351,16.40233005,22.4632356887
PH,2015,103.794400,763.2945,867.088900,2.2128643002,16.27320115,18.4860654514
PH,2016,136.269000,810.4720,946.741000,2.7473588710,16.34016129,19.0875201613
PH,2017,187.273100,1394.4593,1581.732400,3.7567321966,27.97310532,31.7298375125
PH,2018,290.040700,1072.3570,1362.397700,5.5186981505,20.40408326,25.9227814141
PH,2019,366.614900,1514.5670,1881.181900,7.2374869213,29.89965453,37.1371414470
PH,2020,360.114000,2912.8636,3272.977600,7.4976889444,60.64675411,68.1444430564
PH,2021,213.738600,3530.8180,3744.556600,4.1916104487,69.24258707,73.4341975212
PH,2022,496.657100,2997.3210,3493.978100,8.9120045219,53.78386477,62.6958692961
PH,2023,205.453600,2525.1953,2730.648900,3.7094191778,45.59184105,49.3012602235
SG,1997,1.327100,25.9500,27.277100,0.7908820024,15.46483909,16.2557210965
SG,1998,0.772500,35.3400,36.112500,0.4683237345,21.42467414,21.8929978781
SG,1999,4.303000,42.7300,47.033000,2.5829881746,25.64979891,28.2327870821
SG,2000,6.762300,53.9500,60.712300,3.8987027962,31.10406457,35.0027673681
SG,2001,14.236800,58.6300,72.866800,7.7143321593,31.76916825,39.4835004064
SG,2002,3.839000,59.3000,63.139000,2.2131903609,34.18655598,36.3997463392
SG,2003,6.792300,63.5000,70.292300,3.9966460724,37.36393057,41.3605766402
SG,2004,8.515100,76.9000,85.415100,5.2182252727,47.12587327,52.3440985415
SG,2005,5.280500,83.8000,89.080500,3.1752856284,50.39085989,53.5661455201
SG,2006,8.018700,90.4000,98.418700,5.2143971908,58.78527767,63.9996748602
SG,2007,7.745100,121.0000,128.745100,5.3781681828,84.02194292,89.4001111034
SG,2008,13.549300,140.9000,154.449300,9.4743724215,98.52457870,107.9989511223
SG,2009,8.768300,186.8000,195.568300,6.2412271336,132.96320023,139.2044273614
SG,2010,19.991800,209.5000,229.491800,15.5772167680,163.23827334,178.8154901044
SG,2011,15.874400,226.9000,242.774400,12.2430973315,174.99614376,187.2392410921
SG,2012,23.650000,219.4000,243.050000,19.3566868555,179.57112457,198.9278114258
SG,2013,17.156000,123.2000,140.356000,13.5835312747,97.54552652,111.1290577989
SG,2014,18.171900,26.8000,44.971900,13.7094681252,20.21878536,33.9282534892
SG,2015,15.016200,24.8000,39.816200,10.5859710962,17.48325696,28.0692280578
SG,2016,13.422600,27.8000,41.222600,9.2774398673,19.21481891,28.4922587780
SG,2017,17.074700,25.0000,42.074700,12.7804640719,18.71257485,31.4930389222
SG,2018,18.729500,31.9000,50.629500,13.7423875559,23.40597256,37.1483601145
SG,2019,18.293500,87.5000,105.793500,13.5920202095,65.01225945,78.6042796642
SG,2020,19.556500,133.9000,153.456500,14.7919975796,101.27826942,116.0702669995
SG,2021,28.762400,146.7000,175.462400,21.3212750185,108.74722016,130.0684951816
SG,2022,14.179700,153.9000,168.079700,10.5858156028,114.89361702,125.4794326241
SG,2023,7.678400,178.1000,185.778400,5.8156479588,134.89358479,140.7092327501
TH,1997,18.383700,0.0000,18.383700,0.3911425532,0.00000000,0.3911425532
TH,1998,37.273900,400.0000,437.273900,1.0170231924,10.91405184,11.9310750341
TH,1999,289.835600,409.1789,699.014500,7.7310109362,10.91434783,18.6453587623
TH,2000,151.169000,335.7330,486.902000,3.4843609542,7.73845799,11.2228189466
TH,2001,106.679700,658.5711,765.250800,2.4132948761,14.89811334,17.3114082117
TH,2002,98.637100,975.5000,1074.137100,2.2882983413,22.63078529,24.9190836330
TH,2003,195.807500,456.4900,652.297500,4.9416389057,11.52054311,16.4621820109
TH,2004,129.031100,799.4879,928.519000,3.3157163048,20.54446614,23.8601824489
TH,2005,192.609400,662.9000,855.509400,4.6949274832,16.15843998,20.8533674589
TH,2006,883.988300,1085.7391,1969.727400,24.9362002821,30.62733709,55.5635373766
TH,2007,1166.987900,965.2160,2132.203900,34.6133145484,28.62868160,63.2419961441
TH,2008,1267.229200,649.1321,1916.361300,36.4775244675,18.68543754,55.1629620035
TH,2009,985.892900,1387.6912,2373.584100,29.5442882829,41.58499251,71.1292807911
TH,2010,969.812600,996.5088,1966.321400,32.2625615436,33.15065868,65.4132202262
TH,2011,1196.161800,521.7742,1717.936000,37.9048008366,16.53434103,54.4391418703
TH,2012,1383.737500,799.2303,2182.967800,45.2349624060,26.12717555,71.3621379536
TH,2013,1656.169700,907.7731,2563.942800,50.3931142553,27.62127187,78.0143861251
TH,2014,1751.456800,1372.1183,3123.575100,53.2292973499,41.70065342,94.9299507659
TH,2015,1436.960600,1592.3202,3029.280800,39.8237563396,44.12937394,83.9531302830
TH,2016,1721.803900,882.4595,2604.263400,48.0964244811,24.65039526,72.7468197436
TH,2017,1611.904800,1282.6235,2894.528300,49.4752854512,39.36843155,88.8437170043
TH,2018,1644.135000,1000.8063,2644.941300,50.5141636967,30.74862664,81.2627903404
TH,2019,1781.214800,724.9436,2506.158400,59.4392097974,24.19139720,83.6306070010
TH,2020,1189.971000,1416.9654,2606.936400,39.7319198664,47.31103172,87.0429515860
TH,2021,1609.288400,2320.0010,3929.289400,48.1750755875,69.45071097,117.6257865589
TH,2022,2089.482800,2343.1745,4432.657300,60.3809507297,67.71202138,128.0929721139
TH,2023,2108.068600,2159.6860,4267.754600,61.7477621558,63.25969537,125.0074575278
VN,2000,157.705000,1100.0000,1257.705000,0.0108657159,0.07578889,0.0866546093
VN,2001,0.000000,1631.6330,1631.633000,0.0000000000,0.10817695,0.1081769542
VN,2002,0.000000,261.0000,261.000000,0.0000000000,0.01694695,0.0169469515
VN,2003,0.000000,2712.0000,2712.000000,0.0000000000,0.17337936,0.1733793633
VN,2004,0.000000,4410.9000,4410.900000,0.0000000000,0.27964877,0.2796487669
VN,2005,337.460500,12315.0800,12652.540500,0.0211999309,0.77365749,0.7948574256
VN,2006,9311.990600,19745.5510,29057.541600,0.5799695192,1.22979266,1.8097621824
VN,2007,16100.000000,34478.3900,50578.390000,1.0051819941,2.15261222,3.1577942186
VN,2008,6749.931000,29910.0000,36659.931000,0.3860853972,1.71080478,2.0968901790
VN,2009,21809.682300,6920.0000,28729.682300,1.1802414795,0.37447914,1.5547206180
VN,2010,28390.791100,64683.1900,93073.981100,1.4560873474,3.31742692,4.7735142630
VN,2011,5133.466600,79631.8001,84765.266700,0.2440556528,3.78586099,4.0299166445
VN,2012,1000.000000,142010.1501,143010.150100,0.0479846449,6.81430663,6.8622912716
VN,2013,2500.000000,169441.5106,171941.510600,0.1185114956,8.03230674,8.1508182318
VN,2014,6161.846000,208995.4725,215157.318500,0.2880982794,9.77162299,10.0597212689
VN,2015,21020.000000,197745.3141,218765.314100,0.9348454525,8.79454366,9.7293891083
VN,2016,17164.000000,281750.1601,298914.160100,0.7540969202,12.37863715,13.1327340670
VN,2017,30505.000000,160270.6593,190775.659300,1.3439510089,7.06100358,8.4049545907
VN,2018,38450.053700,165797.0000,204247.053700,1.6591177433,7.15413161,8.8132493506
VN,2019,11629.150000,200068.5000,211697.650000,0.5018405040,8.63369007,9.1355305744
VN,2020,213854.907000,301547.5000,515402.407000,9.2585897913,13.05513464,22.3137244350
VN,2021,370071.311100,318213.0000,688284.311100,16.2127096776,13.94081311,30.1535227854
VN,2022,156692.486100,214722.0000,371414.486100,6.6302410231,9.08568527,15.7159262937
VN,2023,190310.400000,298476.0000,488786.400000,7.8417075281,12.29865260,20.1403601302
VN*,2017,86041.000000,570457.0000,656498.000000,4.0228632878,26.67182532,30.6946886104
VN*,2018,480032.613400,978991.1335,1459023.746900,20.7133813765,42.24341461,62.9567959827
VN*,2019,295464.000000,229769.0000,525233.000000,12.7503560178,9.91537565,22.6657316705
VN*,2020,466826.000000,333043.0000,799869.000000,20.2106675903,14.41869426,34.6293618495
VN*,2021,637073.000000,318213.0000,955286.000000,27.9099710856,13.94081311,41.8507841935
VN*,2022,337132.000000,214722.0000,551854.000000,14.2653069860,9.08568527,23.3509922566
VN*,2023,523851.200000,831122.0000,1354973.200000,21.5851992253,34.24624006,55.8314392847
